name,lat,long
Mohali Bus Stand,30.69711,76.72695
Morni T-Point,30.68935,76.89032
"MOTI RAM ARYA SENIOR SECONDARY SCHOOL, SECTOR-27A, Chandigarh",30.72478,76.7994
Mouli Nabi (Down),30.66722,76.71715
Mubarkpur,30.61309,76.85136
Mullanpur,30.80163,76.74338
Nabha Sahib,30.64164,76.80126
Nabha Sahib (Down),30.64016,76.80429
Nabha Village,30.64192,76.8008
Nada Sahib,30.69501,76.88289
Nada Village,30.78356,76.79483
Nandiali,30.66408,76.7726
Naya Gaon,30.76927,76.79225
New Airport,30.66836,76.78508
New Airport Chowk- Mohali (Down),30.64119,76.75491
New Airport Chowk- Mohali (Up),30.64401,76.75549
"NEW COMMUNITY CENTRE, SECTOR 56",30.73642,76.71747
"NEW COMMUNITY CENTRE, VIKAS NAGAR, MAULI JAGRAN, CHANDIGARH",30.69841,76.8314
New Creche building near anganwadi centre ramdarbar,30.69209,76.79063
"New Creche building, Sector 27C",30.72048,76.79797
New Maloya Colony,30.75985,76.71566
New OPD (Down),30.76213,76.78179
New OPD (Up),30.76182,76.78159
"NEW PUBLIC SCHOOL, SECTOR-18B",30.73537,76.79093
Old Barrier,30.72997,76.72111
"OLD COMMUNITY CENTRE, VIKAS NAGAR, MAULI JAGRAN, CHANDIGARH",30.69165,76.82161
Old Panchkula (PKL),30.70714,76.87327
Omaxe Phase-1/2,30.81224,76.70558
Omaxe Tower,30.82363,76.73503
Omax Phase-II,30.80941,76.70632
Palsora (Chandigarh),30.73021,76.72744
"PANCHAYAT GHAR NEAR SAMPARK CENTER, DHANAS",30.77483,76.75045
Panchkula Bus Stand,30.69227,76.85383
"Parchh, Punjab",30.79995,76.78423
Paroul (Down),30.82784,76.73149
Paroul (Up),30.82884,76.7366
Patiala Road Airport Lights,30.62272,76.7872
Paultry Farm,30.69604,76.8001
P.B. Border,30.68217,76.82532
PGI,30.76222,76.77324
PGI(UP),30.75947,76.77541
Phase-11 (Mohali),30.67652,76.74664
Phase-3/5 (Down),30.71442,76.71924
Phase-3/5 (Up),30.71401,76.7181
Phase 6 - 35,30.73747,76.71565
Phase-6 (U.T Border) A,30.7382,76.71463
Phase-6 (U.T Border) C,30.73847,76.71495
Phase-7 (Down),30.70394,76.72697
Phase-7 (Up),30.70383,76.72676
Phase 8/Amb sahib,30.69889,76.7309
picardly chowk,30.72629,76.76831
Plaksha University,30.63189,76.72698
Platinum Homes/Sanauli,30.63673,76.8461
Police Line Sec-25,30.66919,76.89012
"POST GRADUATE GOVT COLLEGE FOR GIRLS, SECTOR 42",30.72536,76.73851
"POST GRADUATE GOVT. COLLEGE, SECTOR 46B",30.70177,76.76951
P.S.E.B. Sector 62,30.69587,76.73401
Punjab Civil Secratariat,30.76268,76.79969
Punjab Engineering College (PEC),30.7639,76.78535
"PUNJAB MLA HOSTEL CANTEEN, SECTOR 4, CHANDIGARH",30.75467,76.79992
Purkhali,30.93655,76.63415
Railway Crossing Towards Manimajra,30.7124,76.82295
Railway Crossing towards Railway Station,30.71185,76.82229
Railway Station (Chandigarh),30.70261,76.81909
Railway Station (Mohali),30.66655,76.73947
Raipur,30.66243,76.70917
Raipur Kalan (U.T. Border),30.6846,76.82701
Raipur Khurd,30.67808,76.80831
Raipur Khurd-1,30.68027,76.8072
Raipur Khurd Towards Zirakpur,30.67581,76.80971
Ram Darbar,30.69344,76.78826
Ramgarh,30.64676,76.88557
Rangilpur,30.91957,76.54277
Rasulpur,30.81044,76.71691
R.B.P. City,30.62112,76.70694
"RIMT WORLD SCHOOL, MANIMAJRA, Chandigarh",30.71672,76.8352
Risort Lake,30.82223,76.72588
Rock garden towards lake,30.75133,76.8044
Rock garden Towards Sectt.,30.75194,76.80387
Ropar,30.98209,76.52321
Saini Majra,30.80088,76.70673
Saketri,30.74624,76.84447
Saneta,30.64181,76.685
Santemajra,30.72083,76.65271
Sarangpur Barrier (Down),30.78638,76.75563
Sarangpur Barrier (Up),30.78598,76.7566
Sarangpur School (Down),30.78267,76.76034
Sarangpur School (UP),30.78333,76.75953
Sarangpur Village (Down),30.7802,76.75435
Sarangpur Village (UP),30.77954,76.75416
SAUPIN SCHOOL SECTOR 32 A,30.71143,76.77681
"S.D. SAINI PUBLIC SCHOOL, SECTOR 38C",30.74129,76.74272
"SD SR SEC SCHOOL, SECTOR 24 C",30.74335,76.75826
Sec-39/Water Works--13 A Towards ISBT 43,30.74698,76.72843
Sec-39/Water Works--13 C,30.7472,76.72812
Sector 09/10,30.7531,76.7963
Sector 10/09,30.75325,76.79606
Sector 10/09 near Matka Chowk,30.74782,76.7874
Sector 10/11,30.75861,76.78966
Sector 10/11 Panchkula,30.68762,76.84974
Sector 10/15 Panchkula,30.68781,76.84431
Sector 10/16 General Hospital,30.75156,76.78185
Sector 104,30.64624,76.68584
Sector 10D/11,30.75611,76.78572
Sector 10 Market,30.75433,76.78789
Sector 11/10,30.758,76.78859
Sector 11/10 Panchkula,30.68787,76.85056
Sector 11/12 Rally Chowk Panchkula,30.6805,76.85212
Sector 11/15,30.75663,76.77767
Sector 11/4,30.68784,76.85546
Sector-119/74,30.71813,76.68878
Sector 11A/2 PEC,30.76463,76.78688
Sector 11B/10,30.75751,76.78794
Sector 11C/10,30.75347,76.78153
